Item number,SKU Size,Parent Bulk Item Number,Product name,GFS_ReasonName,Item in Catalog,Show pricing to web,Parent Bulk Item Site,GFS Express,Search name,Production type,Brand,CAS #,DEA Controlled,Hazardous,Hazard Class,Product service type,Packing Group,Visible in webshop
1000,BULK L,1000,"ROYER ANION EXCHANGE RESIN, PEI-40",,Yes,No,20,No,"Royer Anion Exchange Resin, Pei-40",Formula,ROYER,,No,No,,Not specified,,Yes
1001,BULK L,1001,"ROYER ANION EXCHANGE RESIN, PEI-100",,Yes,No,20,No,"Royer Anion Exchange Resin, Pei-100",Formula,ROYER,,No,No,,Not specified,,Yes
10020,25 G,3471,"MAGNESIUM FLUORIDE, 99.9%, POWDER",,Yes,Yes,20,No,"Magnesium Fluoride, 99.9%, Powder",BOM,GFS GENERIC,7783-40-6,No,No,,Not specified,,Yes
10021,5 G,3854,"Dipropargylamine, 97%",,Yes,Yes,15,No,"Dipropargylamine, 97%",BOM,GFS GENERIC,6921-28-4,No,Yes,"3, (8),",Not specified,PGIII,Yes
10023,25 G,3854,"Dipropargylamine, 97%",,Yes,No,15,No,"Dipropargylamine, 97%",BOM,GFS GENERIC,6921-28-4,No,Yes,"3, (8),",Not specified,PGIII,Yes
10024,100 G,3854,"Dipropargylamine, 97%",,Yes,No,15,No,"Dipropargylamine, 97%",BOM,GFS GENERIC,6921-28-4,No,Yes,"3, (8),",Not specified,PGIII,Yes
10025,1 KG,3854,"Dipropargylamine, 97%",,Yes,No,15,No,"Dipropargylamine, 97%",BOM,GFS ORGANIC,6921-28-4,No,Yes,"3, (8),",Not specified,PGIII,Yes
10030,1 G,3472,"6,8-Heneicosadiynoic Acid, 98%",,Yes,No,15,No,"6,8-Heneicosadiynoic Acid, 98%",BOM,GFS GENERIC,174063-94-6,No,No,,Not specified,,Yes
10031,10 G,3472,"6,8-Heneicosadiynoic Acid, 98%",,Yes,No,15,No,"6,8-Heneicosadiynoic Acid, 98%",BOM,GFS GENERIC,174063-94-6,No,No,,Not specified,,Yes
10040,100 G,3473,"SODIUM SELENITE, 95%, ANHYDROUS",,Yes,Yes,20,No,"Sodium Selenite, 95%, Anhydrous",BOM,GFS GENERIC,10102-18-8,No,Yes,"6.1,",Not specified,PGII,Yes
10041,500 G,3473,"SODIUM SELENITE, 95%, ANHYDROUS",,Yes,Yes,20,No,"Sodium Selenite, 95%, Anhydrous",BOM,GFS GENERIC,10102-18-8,No,Yes,"6.1,",Not specified,PGII,Yes
10042,2.5 KG,3473,"SODIUM SELENITE, 95%, ANHYDROUS",,Yes,Yes,20,No,"Sodium Selenite, 95%, Anhydrous",BOM,GFS GENERIC,10102-18-8,No,Yes,"6.1,",Not specified,PGII,Yes
10051,500 G,827,"ACETAMIDE, REAGENT",,Yes,Yes,20,No,"Acetamide, Reagent",BOM,GFS GENERIC,60-35-5,No,No,,Not specified,,Yes
10052,100 G,827,"ACETAMIDE, REAGENT",,Yes,Yes,20,No,"Acetamide, Reagent",BOM,GFS GENERIC,60-35-5,No,No,,Not specified,,Yes
10061,25 G,2559,"Acetamide Oxime, 96%",,Yes,Yes,15,No,"Acetamide Oxime, 96%",BOM,GFS GENERIC,22059-22-9,No,No,,Not specified,,Yes
10062,100 G,2559,"Acetamide Oxime, 96%",,Yes,No,15,No,"Acetamide Oxime, 96%",BOM,GFS GENERIC,22059-22-9,No,No,,Not specified,,Yes
10063,500 G,2559,"Acetamide Oxime, 96%",,Yes,No,15,No,Acetamide Oxime 96%,BOM,GFS GENERIC,22059-22-9,No,No,,Not specified,,Yes
10064,2.5 KG,2559,"Acetamide Oxime, 96%",,Yes,No,15,No,"Acetamide Oxime, 96%",BOM,GFS ORGANIC,22059-22-9,No,No,,Not specified,,Yes
10071,100 ML,3475,"ZIRCONIUM n-BUTOXIDE, 80% (W/W) in 1-BUTANOL",,Yes,Yes,20,No,"Zirconium N-Butoxide, 80% Silution W/W In 1-Butanol",BOM,GFS GENERIC,1071-76-7,No,Yes,"3,",Not specified,PGIII,Yes
10072,500 ML,3475,"ZIRCONIUM n-BUTOXIDE, 80% (W/W) in 1-BUTANOL",,Yes,Yes,20,No,"Zirconium N-Butoxide, 80% Silution W/W In 1-Butanol",BOM,GFS GENERIC,1071-76-7,No,Yes,"3,",Not specified,PGIII,Yes
10081,1 L,3482,"1-DECANOL, REAGENT",,Yes,Yes,20,No,"1-Decanol, Reagent",BOM,GFS GENERIC,112-30-1,No,No,,Not specified,,Yes
10082,2.5 L,3482,"1-DECANOL, REAGENT",,Yes,Yes,20,No,"1-Decanol, Reagent",BOM,GFS GENERIC,112-30-1,No,No,,Not specified,,Yes
10083,4 L,3482,"1-DECANOL, REAGENT",,Yes,Yes,20,No,"1-Decanol, Reagent",BOM,GFS GENERIC,112-30-1,No,No,,Not specified,,Yes
10091,100 G,3483,"1-IODODECANE, 98%",,Yes,Yes,20,No,"1-Iododecane, 98%",BOM,GFS GENERIC,2050-77-3,No,No,,Not specified,,Yes
10092,500 G,3483,"1-IODODECANE, 98%",,Yes,Yes,20,No,"1-Iododecane, 98%",BOM,GFS GENERIC,2050-77-3,No,No,,Not specified,,Yes
10093,800 ML,3483,"1-IODODECANE, 98%",,Yes,No,20,No,"1-Iododecane, 98%",BOM,GFS GENERIC,2050-77-3,No,No,,Not specified,,Yes
10094,3 KG,3483,"1-IODODECANE, 98%",,Yes,No,20,No,"1-Iododecane, 98%",BOM,GFS ORGANIC,2050-77-3,No,No,,Not specified,,Yes
10095,25 KG,3483,"1-IODODECANE, 98%",,Yes,No,20,No,"1-Iododecane, 98%",BOM,GFS ORGANIC,2050-77-3,No,No,,Not specified,,Yes
10096,70 KG,3483,"1-IODODECANE, 98%",,Yes,No,20,No,"1-Iododecane, 98%",BOM,GFS ORGANIC,2050-77-3,No,No,,Not specified,,Yes
10097,250 KG,3483,"1-IODODECANE, 98%",,Yes,No,20,No,"1-Iododecane, 98%",BOM,GFS ORGANIC,2050-77-3,No,No,,Not specified,,Yes
101,BULK KG,101,"Zinc, Amalgamated",,Yes,No,20,No,"Zinc, Amalgamated",Formula,GFS GENERIC,52374-36-4,No,Yes,"9,",Not specified,PGIII,Yes
10111,1 G,3485,"Tributylstannylacetylene, 95%",,Yes,Yes,15,No,"Tributylstannylacetylene, 95%",BOM,GFS GENERIC,994-89-8,No,Yes,"6.1,",Not specified,PGIII,Yes
10112,5 G,3485,"Tributylstannylacetylene, 95%",,Yes,Yes,15,No,"Tributylstannylacetylene, 95%",BOM,GFS GENERIC,994-89-8,No,Yes,"6.1,",Not specified,PGIII,Yes
10113,25 G,3485,"Tributylstannylacetylene, 95%",,Yes,No,15,No,"Tributylstannylacetylene, 95%",BOM,GFS GENERIC,994-89-8,No,Yes,"6.1,",Not specified,PGIII,Yes
10121,5 G,3969,"Tripropargylamine, 98%",,Yes,Yes,15,No,"Tripropargylamine, 98%",BOM,GFS GENERIC,6921-29-5,No,Yes,"3,",Not specified,PGIII,Yes
10122,25 G,3969,"Tripropargylamine, 98%",,Yes,No,15,No,"Tripropargylamine, 98%",BOM,GFS GENERIC,6921-29-5,No,Yes,"3,",Not specified,PGIII,Yes
10123,100 G,3969,"Tripropargylamine, 98%",,Yes,No,15,No,"Tripropargylamine, 98%",BOM,GFS GENERIC,6921-29-5,No,Yes,"3,",Not specified,PGIII,Yes
10124,500 G,3969,"Tripropargylamine, 98%",,Yes,No,15,No,"Tripropargylamine, 98%",BOM,GFS ORGANIC,6921-29-5,No,Yes,"3,",Not specified,PGIII,Yes
10125,2 KG,3969,"Tripropargylamine, 98%",,Yes,No,15,No,"Tripropargylamine, 98%",BOM,GFS ORGANIC,6921-29-5,No,Yes,"3,",Not specified,PG III,Yes
1013,BULK KG,1013,"Reinecke Salt, Reagent (ACS)",RAW,Yes,No,20,No,"Reinecke Salt, Reagent",None,GFS GENERIC,13573-17-6,No,No,,Not specified,,Yes
10131,500 ML,3476,"1-HEPTANOIC ACID, 97%",,Yes,Yes,20,No,"1-Heptanoic Acid, 97%",BOM,GFS GENERIC,111-14-8,No,Yes,"8,",Not specified,PGIII,Yes
10132,1 L,3476,"1-HEPTANOIC ACID, 97%",,Yes,Yes,20,No,"1-Heptanoic Acid, 97%",BOM,GFS GENERIC,111-14-8,No,Yes,"8,",Not specified,PGIII,Yes
1015,BULK KG,1015,"Rubidium Chloride, Reagent",,Yes,No,10,No,"Rubidium Chloride, Reagent",Formula,GFS GENERIC,7791-11-9,No,No,,Not specified,,Yes
1016,BULK KG,1016,"Rubidium Nitrate, 99.8%",,Yes,No,10,No,"Rubidium Nitrate, Reagent",Formula,GFS GENERIC,13126-12-0,No,Yes,"5.1,",Not specified,PGIII,Yes
10161,100 G,3489,"DL-Tartaric Acid, 99%, Anhydrous",,Yes,Yes,10,No,"Dl-Tartaric Acid, 99%, Anhydrous",BOM,GFS GENERIC,133-37-9,No,No,,Not specified,,Yes
10162,500 G,3489,"DL-Tartaric Acid, 99%, Anhydrous",,Yes,Yes,10,No,"Dl-Tartaric Acid, 99%, Anhydrous",BOM,GFS GENERIC,133-37-9,No,No,,Not specified,,Yes
10163,2.5 KG,3489,"DL-Tartaric Acid, 99%, Anhydrous",,Yes,Yes,10,No,"Dl-Tartaric Acid, 99%, Anhydrous",BOM,GFS GENERIC,133-37-9,No,No,,Not specified,,Yes
10165,50 KG,3489,"DL-Tartaric Acid, 99%, Anhydrous",,Yes,No,10,No,"Dl-Tartaric Acid, 99%, Anhydrous",BOM,GFS GENERIC,133-37-9,No,No,,Not specified,,Yes
10171,2.5 L PVC,9248,"MERCUROUS NITRATE, 10%, SOLUTION IN 10% NITRIC ACID",,Yes,Yes,20,No,"Mercurous Nitrate, 10%, Solution In 10% Nitric Acid",BOM,GFS GENERIC,10415-75-5,No,Yes,"8, (6.1),",Not specified,PGII,Yes
10172,6X2.5L PVC,9248,"MERCUROUS NITRATE, 10%, SOLUTION IN 10% NITRIC ACID",,Yes,Yes,20,No,"Mercurous Nitrate, 10%, Solution In 10% Nitric Acid",BOM,GFS GENERIC,10415-75-5,No,Yes,"8, (6.1),",Not specified,PGII,Yes
