productId,description
7,Dehydrating agent.
14,Ammonium Hexanitrato Cerate.
15,Ammonium Hexanitrato Cerate.
16,Ammonium Hexanitrato Cerate.
17,100 Mesh.
24,(Tetrasulfato-Ceric Acid).
25,Standard solution for cerate oxidimetry.
26,Standard solution for cerate oxidimetry.
50,Saturated at 25C.
55,"Dehydrating Agent, Nominally 10-20 Mesh"
63,"Trace metal grade, analyzed for approximately 35 analytes in the PPB range.Note: Results reported at time of bottling in glass. The levels of Al, B, Ca, K, Mg, Mn, Na, and Si will increase over time.SKU 53105 is a GFS Express item with guaranteed same or next day shipping or the freight is free."
67,"Trace metal grade, analyzed for approximately 35 analytes in the PPB range.Note: Results reported at time of bottling in glass. The levels of Al, B, Ca, K, Mg, Mn, Na, and Si will increase over time."
71,Standard for non-aqueous titrations.  Approximately 0.1N perchloric acid in acetic acid and acetic anhydride.
78,Primary standard.
81,Reagent for periodic oxidimetry.
82,For chromatographic applications.
83,20-40 mesh. Reagent for Walden Silver Reductor.
103,Indicator for iodate and bromate oxidimetry.
107,"0.005 Molar Solution in Water, Oxidation-reduction indicator."
108,"4,7-Diphenyl-1,10-phenanthroline. Reagent for colorimetric determination of iron."
109,"2,2'-Bipyridyl. Reagent for the colorimetric determination of iron. Base for oxidation-reduction indicator."
114,Oxidation-reduction indicator.
117,Cuprizone. Super sensitive reagent for the spectrophotometric determination of copper(II).
120,Indicator for bromate oxidimetry.
127,Reagent for colorimetry. Base for oxidation-reduction indicator.
132,Reagent for colorimetric and gravimetric determination of iron. Base for oxidation-reduction indicator.
133,N-Phenylbenzeneamine. Oxidation-reduction indicator.
139,Reagent for the colorimetric determination of various metals.  (Diphenylthiocarbazone).
140,Indicator for cerate oxidimetry. Complex triphenylmethane derivative.
141,Indicator for cerate oxidimetry. Complex triphenylmethane derivative.
142,8-Quinolinol. Organic precipitant.
143,Reagent for reductimetry.
144,Reagent for reductimetry.
145,Oxidation-reduction indicator.
152,Indicator for iodate and bromate oxidimetry
154,Neocuproine. Reagent for the colorimetric determination of copper.
162,"o-Phenanthroline, ortho-Phenanthroline.  Reagent for the colorimetric determination of iron. Base for oxidation-reduction indicator."
163,Oxidation-reduction indicator.
165,"Ferroin. 0.025 Molar solution in water. Oxidation-reduction indicator. Meets requirements of Standard methods, APHA, AWWA, AOAC and others. 25 ml lots furnished in polyethylene dropping bottles."
169,Organic precipitant.
170,Oxidation-reduction indicator.
171,0.005 mol/L.  Oxidation-reduction indicator.
176,Also meets ACS specifications.
177,"Tripyridine, Tripyridyl. Reagent for colorimetry."
